46375,100.000 ,17.150.000 ,0 ,17.250.000 
46376,100.000 ,16.275.000 ,70.000 ,16.445.000 
46382,100.000 ,4.450.000 ,1.162.500 ,5.712.500 
46395,100.000 ,16.750.000 ,1.219.500 ,18.069.500 
46396,100.000 ,14.250.000 ,318.600 ,14.668.600 
46398,100.000 ,11.230.000 ,892.000 ,12.222.000 
46401,100.000 ,18.275.000 ,746.700 ,19.121.700 
46402,100.000 ,13.335.000 ,1.000.000 ,14.435.000 
46411,100.000 ,17.100.000 ,4.395.000 ,21.595.000 
46416,100.000 ,18.700.000 ,1.000.000 ,19.800.000 
46417,100.000 ,11.400.000 ,800.000 ,12.300.000 
46418,100.000 ,16.000.000 ,710.500 ,16.810.500 
46421,100.000 ,5.000.000 ,1.442.000 ,6.542.000 
46427,100.000 ,17.300.000 ,734.000 ,18.134.000 
46470,100.000 ,16.500.000 ,10.677.100 ,27.277.100 
46566,100.000 ,5.500.000 ,754.000 ,6.354.000 
46929,100.000 ,3.000.000 ,10.754.700 ,13.854.700 
47118,100.000 ,15.100.000 ,120.000 ,15.320.000 
47119,100.000 ,15.650.000 ,874.000 ,16.624.000 
47130,100.000 ,500.000 ,481.900 ,1.081.900 
47205,100.000 ,17.025.000 ,374.000 ,17.499.000 
47259,100.000 ,20.225.000 ,1.000.000 ,21.325.000 
47275,100.000 ,17.050.000 ,70.000 ,17.220.000 
47332,100.000 ,14.925.000 ,2.566.300 ,17.591.300 
48057,100.000 ,16.550.000 ,9.420.000 ,26.070.000 
48058,100.000 ,5.300.000 ,0 ,5.400.000 
48200,100.000 ,16.150.000 ,1.978.200 ,18.228.200 
48243,100.000 ,17.525.000 ,20.000 ,17.645.000 
48290,100.000 ,9.600.000 ,4.800.000 ,14.500.000 
48294 ,100.000 ,4.100.000 ,400.000 ,4.600.000 
48355 ,100.000 ,15.750.000 ,4.900.000 ,20.750.000 
48365 ,100.000 ,2.100.000 ,0 ,2.200.000 
48403,100.000 ,11.900.000 ,0 ,12.000.000 
48475,100.000 ,15.050.000 ,20.000 ,15.170.000 
48619 ,100.000 ,1.250.000 ,551.000 ,1.901.000 
48654,100.000 ,1.650.000 ,483.900 ,2.233.900 
49159,100.000 ,16.450.000 ,70.000 ,16.620.000 
49163,100.000 ,12.800.000 ,520.000 ,13.420.000 
49167,100.000 ,14.900.000 ,261.000 ,15.261.000 
49168,100.000 ,15.700.000 ,503.000 ,16.303.000 
49172,100.000 ,15.650.000 ,3.523.000 ,19.273.000 
49183,100.000 ,3.100.000 ,12.400.000 ,15.600.000 
49187,100.000 ,17.675.000 ,25.000 ,17.800.000 
49190,100.000 ,15.550.000 ,20.000 ,15.670.000 
49191 ,100.000 ,17.950.000 ,295.750 ,18.345.750 
49192,100.000 ,16.400.000 ,555.600 ,17.055.600 
49220,100.000 ,18.760.000 ,8.335.000 ,27.195.000 
49296,100.000 ,15.750.000 ,0 ,15.850.000 
49392,100.000 ,16.150.000 ,20.000 ,16.270.000 
49527 ,100.000 ,14.800.000 ,1.074.000 ,15.974.000 
49554 ,100.000 ,18.420.000 ,11.700.000 ,30.220.000 
49592,100.000 ,12.900.000 ,70.000 ,13.070.000 
49711 ,100.000 ,11.900.000 ,500.000 ,12.500.000 
49727 ,100.000 ,2.100.000 ,0 ,2.200.000 
49742,100.000 ,15.650.000 ,0 ,15.750.000 
49786,100.000 ,7.100.000 ,0 ,7.200.000 
49810,100.000 ,12.150.000 ,0 ,12.250.000 
49835 ,100.000 ,1.000.000 ,1.000.000 ,2.100.000 
49891,100.000 ,14.900.000 ,120.000 ,15.120.000 
49963,100.000 ,14.950.000 ,3.000.000 ,18.050.000 
49975,100.000 ,15.950.000 ,300.000 ,16.350.000 
50011 ,100.000 ,15.700.000 ,166.000 ,15.966.000 
50017,100.000 ,15.850.000 ,20.000 ,15.970.000 
50098,100.000 ,15.350.000 ,20.000 ,15.470.000 
50105,100.000 ,15.950.000 ,20.000 ,16.070.000 
50239,100.000 ,15.300.000 ,483.000 ,15.883.000 
50303 ,100.000 ,1.800.000 ,0 ,1.900.000 
50468,100.000 ,2.700.000 ,6.402.000 ,9.202.000 
50587,100.000 ,14.150.000 ,747.400 ,14.997.400 
51046,100.000 ,4.500.000 ,1.100.000 ,5.700.000 
51794 ,100.000 ,12.950.000 ,4.370.000 ,17.420.000 
51908,100.000 ,4.500.000 ,0 ,4.600.000 
51910,100.000 ,15.550.000 ,20.000 ,15.670.000 
51911,100.000 ,3.200.000 ,900.000 ,4.200.000 
51912,100.000 ,14.600.000 ,20.000 ,14.720.000 
51913,100.000 ,3.200.000 ,0 ,3.300.000 
51914,100.000 ,12.600.000 ,1.050.800 ,13.750.800 
51915,100.000 ,9.150.000 ,894.600 ,10.144.600 
51919,100.000 ,10.600.000 ,151.200 ,10.851.200 
51920,100.000 ,15.300.000 ,800.000 ,16.200.000 
51923 ,100.000 ,14.900.000 ,20.000 ,15.020.000 
51926,100.000 ,13.450.000 ,2.355.400 ,15.905.400 
51927,100.000 ,11.400.000 ,1.850.000 ,13.350.000 
51929,100.000 ,15.450.000 ,20.000 ,15.570.000 
51932,100.000 ,19.010.000 ,355.000 ,19.465.000 
51934 ,100.000 ,2.100.000 ,2.100.000 ,4.300.000 
51935,100.000 ,19.385.000 ,21.800.000 ,41.285.000 
51938,100.000 ,15.750.000 ,3.500.000 ,19.350.000 
51942 ,100.000 ,14.250.000 ,7.320.000 ,21.670.000 
51944,100.000 ,19.275.000 ,2.950.000 ,22.325.000 
51948 ,100.000 ,15.550.000 ,10.200.000 ,25.850.000 
51949 ,100.000 ,15.550.000 ,20.000 ,15.670.000 
51952,100.000 ,5.500.000 ,1.375.000 ,6.975.000 
51955,100.000 ,12.750.000 ,280.000 ,13.130.000 
51957,100.000 ,5.600.000 ,0 ,5.700.000 
51958,100.000 ,15.250.000 ,4.000.000 ,19.350.000 
51959,100.000 ,18.615.000 ,2.110.000 ,20.825.000 
51961,100.000 ,15.250.000 ,20.000 ,15.370.000 
51962,100.000 ,14.550.000 ,500.000 ,15.150.000 
51968,100.000 ,13.850.000 ,320.000 ,14.270.000 
51976,100.000 ,8.000.000 ,237.000 ,8.337.000 
51981 ,100.000 ,3.900.000 ,2.000 ,4.002.000 
51984,100.000 ,15.750.000 ,6.226.000 ,22.076.000 
51989,100.000 ,15.050.000 ,650.000 ,15.800.000 
51992,100.000 ,14.750.000 ,5.020.000 ,19.870.000 
51993,100.000 ,15.450.000 ,2.400.000 ,17.950.000 
51996,100.000 ,15.450.000 ,7.620.000 ,23.170.000 
51997 ,100.000 ,900.000 ,0 ,1.000.000 
52000,100.000 ,16.875.000 ,4.000.000 ,20.975.000 
52006,100.000 ,15.250.000 ,1.820.000 ,17.170.000 
52008 ,100.000 ,15.650.000 ,24.350.000 ,40.100.000 
52010,100.000 ,15.650.000 ,20.000 ,15.770.000 
52015,100.000 ,14.600.000 ,104.000 ,14.804.000 
52017,100.000 ,15.750.000 ,3.020.000 ,18.870.000 
53332 ,100.000 ,10.800.000 ,0 ,10.900.000 
53335,100.000 ,11.900.000 ,0 ,12.000.000 
53360,100.000 ,13.950.000 ,20.000 ,14.070.000 
53365,100.000 ,9.300.000 ,2.000.000 ,11.400.000 
53376,100.000 ,7.850.000 ,2.722.140 ,10.672.140 
53394,100.000 ,5.700.000 ,0 ,5.800.000 
53401 ,100.000 ,400.000 ,0 ,500.000 
53408,100.000 ,14.850.000 ,203.000 ,15.153.000 
53417,100.000 ,14.850.000 ,170.000 ,15.120.000 
53424,100.000 ,14.900.000 ,10.000.000 ,25.000.000 
53429,100.000 ,15.450.000 ,0 ,15.550.000 
53437,100.000 ,15.550.000 ,500.000 ,16.150.000 
53445,100.000 ,15.400.000 ,600.000 ,16.100.000 
53456,100.000 ,5.000.000 ,20.000 ,5.120.000 
54759,100.000 ,5.000.000 ,700.000 ,5.800.000 
55143,100.000 ,3.000.000 ,0 ,3.100.000 
55460,100.000 ,9.200.000 ,7.000.000 ,16.300.000 
55596 ,100.000 ,7.900.000 ,6.000.000 ,14.000.000 
55599,100.000 ,8.100.000 ,0 ,8.200.000 
55659,100.000 ,12.650.000 ,400.000 ,13.150.000 
55661,100.000 ,13.200.000 ,6.500.000 ,19.800.000 
55777,100.000 ,17.025.000 ,29.020.000 ,46.145.000 
55778,100.000 ,16.925.000 ,70.000 ,17.095.000 
55779,100.000 ,6.300.000 ,0 ,6.400.000 
55780,100.000 ,14.800.000 ,20.000 ,14.920.000 
55781,100.000 ,16.950.000 ,15.500.000 ,32.550.000 
55784,100.000 ,14.350.000 ,70.000 ,14.520.000 
55793,100.000 ,14.600.000 ,70.000 ,14.770.000 
55802 ,100.000 ,17.250.000 ,20.000 ,17.370.000 
55808 ,100.000 ,17.175.000 ,220.000 ,17.495.000 
55822,100.000 ,14.350.000 ,11.620.000 ,26.070.000 
55825,100.000 ,14.750.000 ,10.270.000 ,25.120.000 
55826,100.000 ,14.050.000 ,2.000.000 ,16.150.000 
55845,100.000 ,14.700.000 ,18.920.000 ,33.720.000 
55848,100.000 ,14.450.000 ,300.000 ,14.850.000 
55851,100.000 ,14.900.000 ,1.000.000 ,16.000.000 
55860,100.000 ,14.350.000 ,20.000 ,14.470.000 
55863,100.000 ,14.350.000 ,10.020.000 ,24.470.000 
55864,100.000 ,14.900.000 ,0 ,15.000.000 
55874,100.000 ,11.000.000 ,8.000.000 ,19.100.000 
55886 ,100.000 ,14.900.000 ,20.000 ,15.020.000 
55888 ,100.000 ,4.900.000 ,6.000.000 ,11.000.000 
55890 ,100.000 ,14.900.000 ,650.000 ,15.650.000 
55892,100.000 ,14.900.000 ,20.000 ,15.020.000 
55893,100.000 ,4.600.000 ,6.050.000 ,10.750.000 
55913,100.000 ,14.350.000 ,21.020.000 ,35.470.000 
55915,100.000 ,3.200.000 ,0 ,3.300.000 
55927 ,100.000 ,5.400.000 ,3.000.000 ,8.500.000 
55931 ,100.000 ,800.000 ,0 ,900.000 
55933,100.000 ,14.850.000 ,16.770.000 ,31.720.000 
55942 ,100.000 ,1.300.000 ,0 ,1.400.000 
55952,100.000 ,14.800.000 ,13.420.000 ,28.320.000 
55953,100.000 ,14.850.000 ,11.370.000 ,26.320.000 
55955,100.000 ,14.900.000 ,8.570.000 ,23.570.000 
55959,100.000 ,3.300.000 ,0 ,3.400.000 
55962,100.000 ,14.550.000 ,22.500.000 ,37.150.000 
55966,100.000 ,14.600.000 ,786.000 ,15.486.000 
55970,100.000 ,2.800.000 ,5.400.000 ,8.300.000 
55971,100.000 ,1.300.000 ,1.256.000 ,2.656.000 
55972,100.000 ,1.900.000 ,2.000 ,2.002.000 
